Navn;Stasjon;Tid(norsk normaltid);Nedbør (mnd)
Smestad Ii;SN18850;09.1975;104,5
Smestad Ii;SN18850;10.1975;64,3
Smestad Ii;SN18850;11.1975;86,8
Smestad Ii;SN18850;12.1975;29,7
Smestad Ii;SN18850;01.1976;27,1
Smestad Ii;SN18850;02.1976;38,6
Smestad Ii;SN18850;03.1976;6,1
Smestad Ii;SN18850;04.1976;18,3
Smestad Ii;SN18850;05.1976;45,6
Smestad Ii;SN18850;06.1976;22,4
Smestad Ii;SN18850;07.1976;30,3
Smestad Ii;SN18850;08.1976;10,8
Smestad Ii;SN18850;09.1976;42,7
Smestad Ii;SN18850;10.1976;179,9
Smestad Ii;SN18850;11.1976;97,6
Smestad Ii;SN18850;12.1976;44,3
Smestad Ii;SN18850;01.1977;53,6
Smestad Ii;SN18850;02.1977;20,1
Smestad Ii;SN18850;03.1977;45,6
Smestad Ii;SN18850;04.1977;77,1
Smestad Ii;SN18850;05.1977;25,7
Smestad Ii;SN18850;06.1977;87
Smestad Ii;SN18850;07.1977;69,1
Smestad Ii;SN18850;08.1977;35,2
Smestad Ii;SN18850;09.1977;51,2
Smestad Ii;SN18850;10.1977;68,7
Smestad Ii;SN18850;11.1977;77,1
Smestad Ii;SN18850;12.1977;52,1
Smestad Ii;SN18850;01.1978;67,4
Smestad Ii;SN18850;02.1978;42,9
Smestad Ii;SN18850;03.1978;96,6
Smestad Ii;SN18850;04.1978;18,4
Smestad Ii;SN18850;05.1978;11,2
Smestad Ii;SN18850;06.1978;30,9
Smestad Ii;SN18850;07.1978;137,7
Smestad Ii;SN18850;08.1978;121
Smestad Ii;SN18850;09.1978;87,8
Smestad Ii;SN18850;10.1978;25,4
Smestad Ii;SN18850;11.1978;30,2
Smestad Ii;SN18850;12.1978;18,7
Smestad Ii;SN18850;01.1979;8,1
Smestad Ii;SN18850;02.1979;20,6
Smestad Ii;SN18850;03.1979;111,3
Smestad Ii;SN18850;04.1979;72,1
Smestad Ii;SN18850;05.1979;57,6
Smestad Ii;SN18850;06.1979;45,5
Smestad Ii;SN18850;07.1979;71
Smestad Ii;SN18850;08.1979;108,4
Smestad Ii;SN18850;09.1979;77,3
Smestad Ii;SN18850;10.1979;75,6
Smestad Ii;SN18850;11.1979;98
Smestad Ii;SN18850;12.1979;51
Smestad Ii;SN18850;01.1980;14,9
Smestad Ii;SN18850;02.1980;25
Smestad Ii;SN18850;03.1980;32,6
Smestad Ii;SN18850;04.1980;4,3
Smestad Ii;SN18850;05.1980;65,7
Smestad Ii;SN18850;06.1980;104,9
Smestad Ii;SN18850;07.1980;97,7
Smestad Ii;SN18850;08.1980;162,3
Smestad Ii;SN18850;09.1980;82,9
Smestad Ii;SN18850;10.1980;117,7
Smestad Ii;SN18850;11.1980;34,9
Smestad Ii;SN18850;12.1980;53,1
Smestad Ii;SN18850;01.1981;18,7
Smestad Ii;SN18850;02.1981;21,3
Smestad Ii;SN18850;03.1981;72,5
Smestad Ii;SN18850;04.1981;6,4
Smestad Ii;SN18850;05.1981;78,2
Smestad Ii;SN18850;06.1981;86,7
Smestad Ii;SN18850;07.1981;109,8
Smestad Ii;SN18850;08.1981;10,3
Smestad Ii;SN18850;09.1981;54,1
Smestad Ii;SN18850;10.1981;77,7
Smestad Ii;SN18850;11.1981;123,6
Smestad Ii;SN18850;12.1981;28,1
Smestad Ii;SN18850;01.1982;27,9
Smestad Ii;SN18850;02.1982;32,6
Smestad Ii;SN18850;03.1982;86,2
Smestad Ii;SN18850;04.1982;35,2
Smestad Ii;SN18850;05.1982;65,7
Smestad Ii;SN18850;06.1982;28,7
Smestad Ii;SN18850;07.1982;27,6
Smestad Ii;SN18850;08.1982;67,6
Smestad Ii;SN18850;09.1982;109
Smestad Ii;SN18850;10.1982;78,7
Smestad Ii;SN18850;11.1982;131,6
Smestad Ii;SN18850;12.1982;102,3
Smestad Ii;SN18850;01.1983;27,2
Smestad Ii;SN18850;02.1983;12,5
Smestad Ii;SN18850;03.1983;28,4
Smestad Ii;SN18850;04.1983;42,2
Smestad Ii;SN18850;05.1983;106,8
Smestad Ii;SN18850;06.1983;33,5
Smestad Ii;SN18850;07.1983;38,2
Smestad Ii;SN18850;08.1983;28,7
Smestad Ii;SN18850;09.1983;165,8
Smestad Ii;SN18850;10.1983;94,9
Smestad Ii;SN18850;11.1983;19,5
Smestad Ii;SN18850;12.1983;46
Smestad Ii;SN18850;01.1984;71,2
Smestad Ii;SN18850;02.1984;23,1
Smestad Ii;SN18850;03.1984;17,1
Smestad Ii;SN18850;04.1984;28,6
Smestad Ii;SN18850;05.1984;52,3
Smestad Ii;SN18850;06.1984;93,5
Smestad Ii;SN18850;07.1984;114,1
Smestad Ii;SN18850;08.1984;78,1
Smestad Ii;SN18850;09.1984;104,6
Smestad Ii;SN18850;10.1984;144,5
Smestad Ii;SN18850;11.1984;58,4
Smestad Ii;SN18850;12.1984;89,4
Smestad Ii;SN18850;01.1985;35,3
Smestad Ii;SN18850;02.1985;41,1
Smestad Ii;SN18850;03.1985;77,4
Smestad Ii;SN18850;04.1985;66,5
Smestad Ii;SN18850;05.1985;31,1
Smestad Ii;SN18850;06.1985;76,4
Smestad Ii;SN18850;07.1985;125,3
Smestad Ii;SN18850;08.1985;151,8
Smestad Ii;SN18850;09.1985;124
Smestad Ii;SN18850;10.1985;28,7
Smestad Ii;SN18850;11.1985;58,2
Smestad Ii;SN18850;12.1985;77,9
Smestad Ii;SN18850;01.1986;64,2
Smestad Ii;SN18850;02.1986;0,4
Smestad Ii;SN18850;03.1986;44,7
Smestad Ii;SN18850;04.1986;18,5
Smestad Ii;SN18850;05.1986;63,7
Smestad Ii;SN18850;06.1986;37,7
Smestad Ii;SN18850;07.1986;40,9
Smestad Ii;SN18850;08.1986;156,2
Smestad Ii;SN18850;09.1986;23,1
Smestad Ii;SN18850;10.1986;78,7
Smestad Ii;SN18850;11.1986;75,1
Smestad Ii;SN18850;12.1986;100,9
Smestad Ii;SN18850;01.1987;11,4
Smestad Ii;SN18850;02.1987;17
Smestad Ii;SN18850;03.1987;78,6
Smestad Ii;SN18850;04.1987;22,7
Smestad Ii;SN18850;05.1987;35,9
Smestad Ii;SN18850;06.1987;138,3
Smestad Ii;SN18850;07.1987;35,9
Smestad Ii;SN18850;08.1987;79,1
Smestad Ii;SN18850;09.1987;119,5
Smestad Ii;SN18850;10.1987;206,2
Smestad Ii;SN18850;11.1987;102,2
Smestad Ii;SN18850;12.1987;18,7
Smestad Ii;SN18850;01.1988;132,4
Smestad Ii;SN18850;02.1988;107,4
Smestad Ii;SN18850;03.1988;110,4
Smestad Ii;SN18850;04.1988;42,8
Smestad Ii;SN18850;05.1988;22,7
Smestad Ii;SN18850;06.1988;16,3
Smestad Ii;SN18850;07.1988;180,2
Smestad Ii;SN18850;08.1988;202,6
Smestad Ii;SN18850;09.1988;104,4
Smestad Ii;SN18850;10.1988;76,6
Smestad Ii;SN18850;11.1988;23,9
Smestad Ii;SN18850;12.1988;24,8
Smestad Ii;SN18850;01.1989;9,6
Smestad Ii;SN18850;02.1989;45,4
Smestad Ii;SN18850;03.1989;74,9
Smestad Ii;SN18850;04.1989;88,8
Smestad Ii;SN18850;05.1989;33,2
Smestad Ii;SN18850;06.1989;68,5
Smestad Ii;SN18850;07.1989;48
Smestad Ii;SN18850;08.1989;149,5
Smestad Ii;SN18850;09.1989;45
Smestad Ii;SN18850;10.1989;54,4
Smestad Ii;SN18850;11.1989;64,1
Smestad Ii;SN18850;12.1989;44,1
Smestad Ii;SN18850;01.1990;78,9
Smestad Ii;SN18850;02.1990;83
Smestad Ii;SN18850;03.1990;29,3
Smestad Ii;SN18850;04.1990;65,7
Smestad Ii;SN18850;05.1990;11,5
Smestad Ii;SN18850;06.1990;87,4
Smestad Ii;SN18850;07.1990;74,9
Smestad Ii;SN18850;08.1990;69,6
Smestad Ii;SN18850;09.1990;54,3
Smestad Ii;SN18850;10.1990;82,8
Smestad Ii;SN18850;11.1990;35,7
Smestad Ii;SN18850;12.1990;89
Smestad Ii;SN18850;01.1991;62,1
